               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094284,            0.025844,                   0,            0.043533,             0.10405,            0.031022,           0.0071253,            0.035026,            0.010703,                   0,            0.070638,           0.0032624,           0.0032624
                   1,            0.061541,             0.01988,                   0,             0.52231,             0.56216,             0.50047,             0.10249,            0.032547,           0.0079885,                   0,            0.040573,           0.0065304,           0.0065304
                   2,            0.051983,            0.017774,                   0,             0.53319,             0.87432,             0.58507,             0.16632,            0.028943,           0.0048124,                   0,            0.010442,           0.0097325,           0.0097325
                   3,            0.047558,            0.014747,                   0,             0.87306,             0.88784,             0.96059,             0.47422,            0.015104,           0.0047101,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.041644,            0.012371,                   0,             0.91207,             0.91351,             0.91922,             0.24661,            0.023684,           0.0035609,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.038081,            0.010708,                   0,              0.9973,             0.99689,             0.99439,             0.69313,            0.011102,           0.0032289,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.034052,           0.0092846,                   0,             0.99678,             0.99865,             0.99497,              0.5534,            0.011926,           0.0028546,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.033289,           0.0087853,                   0,             0.99595,             0.99715,             0.99416,             0.74381,            0.011626,           0.0027155,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.032274,           0.0082252,                   0,             0.99591,              0.9973,             0.99421,             0.56591,            0.011408,           0.0026472,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.029561,           0.0076154,                   0,             0.99685,                   1,               0.995,             0.57498,            0.011387,           0.0026495,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.030322,             0.00701,                   0,             0.99698,             0.99865,             0.99403,             0.61329,            0.012687,           0.0025371,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.028936,           0.0074044,                   0,             0.99855,             0.99865,             0.99478,             0.63899,           0.0095044,           0.0024527,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.026206,           0.0067577,                   0,              0.9973,             0.99845,             0.99472,             0.71844,           0.0093475,            0.002324,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.027236,           0.0068091,                   0,             0.99823,             0.99865,             0.99449,             0.82773,           0.0071438,           0.0021949,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.025483,           0.0064028,                   0,             0.99848,             0.99865,              0.9948,              0.7937,           0.0082899,            0.002263,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.025737,           0.0064723,                   0,             0.99988,                   1,               0.995,             0.75862,           0.0073426,           0.0022677,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.024966,           0.0061284,                   0,             0.99991,                   1,               0.995,             0.79849,           0.0085149,           0.0022638,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.023364,           0.0063176,                   0,             0.99983,                   1,               0.995,             0.75462,           0.0075443,           0.0023051,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.023462,           0.0062052,                   0,              0.9985,             0.99865,             0.99469,             0.74961,           0.0085495,           0.0021914,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.024003,           0.0061206,                   0,             0.99986,                   1,               0.995,             0.66215,           0.0091209,            0.002331,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.023299,           0.0060484,                   0,             0.99982,                   1,               0.995,             0.82525,           0.0070067,           0.0021021,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.022668,           0.0061036,                   0,             0.99988,                   1,               0.995,             0.79316,           0.0070804,           0.0021389,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.022598,           0.0059862,                   0,             0.99998,                   1,               0.995,             0.68065,            0.010103,            0.002256,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.021784,           0.0060856,                   0,             0.99982,                   1,               0.995,             0.81393,           0.0068398,            0.002109,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.021897,           0.0055553,                   0,             0.99984,                   1,               0.995,             0.77775,           0.0073592,           0.0020775,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.022038,           0.0056619,                   0,             0.99988,                   1,               0.995,             0.80188,           0.0067427,           0.0020017,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.022249,           0.0056244,                   0,             0.99988,                   1,               0.995,             0.84415,           0.0061686,           0.0020292,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.020775,           0.0055984,                   0,             0.99992,                   1,               0.995,             0.69981,           0.0085228,           0.0021795,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.020481,           0.0054416,                   0,              0.9999,                   1,               0.995,             0.77394,           0.0079346,           0.0020271,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.020574,           0.0055615,                   0,              0.9999,                   1,               0.995,             0.85982,           0.0063883,           0.0019388,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.019328,           0.0051448,                   0,              0.9999,                   1,               0.995,             0.78118,           0.0074691,           0.0020014,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.020645,             0.00549,                   0,             0.99991,                   1,               0.995,             0.85499,           0.0060845,            0.001943,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.020118,           0.0056159,                   0,             0.99985,                   1,               0.995,              0.8482,           0.0064025,           0.0019691,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.019892,           0.0052657,                   0,             0.99991,                   1,               0.995,             0.83935,            0.006302,           0.0019375,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.019222,           0.0049831,                   0,             0.99991,                   1,               0.995,             0.86459,            0.005793,           0.0019681,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.019814,           0.0054692,                   0,             0.99991,                   1,               0.995,             0.86631,           0.0058357,           0.0018832,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.019201,           0.0051241,                   0,             0.99988,                   1,               0.995,             0.84647,           0.0057764,           0.0018976,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.018551,           0.0049081,                   0,             0.99989,                   1,               0.995,             0.87245,           0.0058156,           0.0018953,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.018742,            0.005354,                   0,             0.99991,                   1,               0.995,             0.87329,           0.0058854,           0.0018625,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.01917,           0.0051357,                   0,             0.99992,                   1,               0.995,              0.8269,           0.0069284,            0.001934,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018165,           0.0050902,                   0,              0.9999,                   1,               0.995,             0.86303,            0.005963,           0.0018599,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018222,           0.0050795,                   0,             0.99991,                   1,               0.995,             0.85293,           0.0063867,           0.0018989,                   0,             0.00604,             0.00604,             0.00604
